x:6.94118, V:142.182, Pressure:255976, iteration:1, T:402.933, f_new:997.801, dfdT:2211.75
x:6.9417, V:142.287, Pressure:255954, iteration:1, T:402.932, f_new:997.803, dfdT:2211.72
x:6.94222, V:142.392, Pressure:255933, iteration:1, T:402.931, f_new:997.807, dfdT:2211.69
x:6.94274, V:142.495, Pressure:255912, iteration:1, T:402.93, f_new:997.791, dfdT:2211.66
x:6.94326, V:142.6, Pressure:255891, iteration:1, T:402.929, f_new:997.799, dfdT:2211.63
x:6.94378, V:142.705, Pressure:255870, iteration:1, T:402.928, f_new:997.808, dfdT:2211.59
x:6.94429, V:142.809, Pressure:255849, iteration:1, T:402.927, f_new:997.797, dfdT:2211.56
x:6.94481, V:142.914, Pressure:255828, iteration:1, T:402.926, f_new:997.809, dfdT:2211.53
x:6.94533, V:143.018, Pressure:255807, iteration:1, T:402.925, f_new:997.801, dfdT:2211.5
x:6.94584, V:143.122, Pressure:255786, iteration:1, T:402.924, f_new:997.794, dfdT:2211.47
x:6.94636, V:143.226, Pressure:255765, iteration:1, T:402.923, f_new:997.79, dfdT:2211.44
x:6.94688, V:143.331, Pressure:255743, iteration:1, T:402.922, f_new:997.808, dfdT:2211.41
x:6.94739, V:143.435, Pressure:255722, iteration:1, T:402.921, f_new:997.806, dfdT:2211.38
x:6.94791, V:143.539, Pressure:255701, iteration:1, T:402.92, f_new:997.806, dfdT:2211.35
x:6.94842, V:143.643, Pressure:255680, iteration:1, T:402.919, f_new:997.808, dfdT:2211.32
x:6.94893, V:143.746, Pressure:255659, iteration:1, T:402.918, f_new:997.79, dfdT:2211.29
x:6.94945, V:143.85, Pressure:255638, iteration:1, T:402.917, f_new:997.794, dfdT:2211.26
x:6.94996, V:143.954, Pressure:255617, iteration:1, T:402.916, f_new:997.801, dfdT:2211.23
x:6.95048, V:144.058, Pressure:255595, iteration:1, T:402.915, f_new:997.809, dfdT:2211.2
x:6.95099, V:144.161, Pressure:255575, iteration:1, T:402.914, f_new:997.796, dfdT:2211.17
x:6.9515, V:144.265, Pressure:255553, iteration:1, T:402.913, f_new:997.807, dfdT:2211.14
x:6.95201, V:144.368, Pressure:255532, iteration:1, T:402.912, f_new:997.798, dfdT:2211.1
x:6.95252, V:144.472, Pressure:255511, iteration:1, T:402.911, f_new:997.791, dfdT:2211.07
x:6.95304, V:144.576, Pressure:255490, iteration:1, T:402.91, f_new:997.807, dfdT:2211.04
x:6.95355, V:144.679, Pressure:255469, iteration:1, T:402.909, f_new:997.802, dfdT:2211.01
x:6.95406, V:144.782, Pressure:255448, iteration:1, T:402.908, f_new:997.8, dfdT:2210.98
x:6.95457, V:144.885, Pressure:255427, iteration:1, T:402.907, f_new:997.798, dfdT:2210.95
x:6.95508, V:144.988, Pressure:255406, iteration:1, T:402.906, f_new:997.799, dfdT:2210.92
x:6.95559, V:145.091, Pressure:255384, iteration:1, T:402.905, f_new:997.801, dfdT:2210.89
x:6.9561, V:145.194, Pressure:255363, iteration:1, T:402.904, f_new:997.804, dfdT:2210.86
x:6.95661, V:145.297, Pressure:255342, iteration:1, T:402.903, f_new:997.809, dfdT:2210.83
x:6.95711, V:145.399, Pressure:255321, iteration:1, T:402.902, f_new:997.794, dfdT:2210.8
x:6.95762, V:145.502, Pressure:255300, iteration:1, T:402.901, f_new:997.802, dfdT:2210.77
x:6.95813, V:145.605, Pressure:255279, iteration:1, T:402.9, f_new:997.79, dfdT:2210.74
x:6.95864, V:145.708, Pressure:255258, iteration:1, T:402.899, f_new:997.802, dfdT:2210.71
x:6.95914, V:145.81, Pressure:255237, iteration:1, T:402.898, f_new:997.793, dfdT:2210.68
