[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
9.35 8.334e-06 709.692 65013 288.309
9.36 8.34295e-06 710.095 64873.5 288.163
9.37 8.35191e-06 710.497 64734.5 288.018
9.38 8.36088e-06 710.898 64595.9 287.872
9.39 8.36985e-06 711.297 64457.9 287.727
9.4 8.37882e-06 711.696 64320.3 287.583
9.41 8.3878e-06 712.094 64183.3 287.438
9.42 8.39679e-06 712.491 64046.7 287.294
9.43 8.40578e-06 712.886 63910.6 287.15
9.44 8.41477e-06 713.281 63774.9 287.007
9.45 8.42377e-06 713.675 63639.7 286.863
9.46 8.43277e-06 714.068 63505.1 286.72
9.47 8.44178e-06 714.46 63370.8 286.577
9.48 8.4508e-06 714.851 63237.1 286.435
9.49 8.45981e-06 715.241 63103.8 286.292
9.5 8.46884e-06 715.631 62970.9 286.15
9.51 8.47786e-06 716.019 62838.5 286.009
9.52 8.4869e-06 716.406 62706.6 285.867
9.53 8.49593e-06 716.793 62575.1 285.726
9.54 8.50498e-06 717.178 62444.1 285.585
9.55 8.51402e-06 717.563 62313.5 285.444
9.56 8.52308e-06 717.947 62183.4 285.304
9.57 8.53213e-06 718.329 62053.7 285.163
9.58 8.54119e-06 718.711 61924.4 285.023
9.59 8.55026e-06 719.092 61795.6 284.884
9.6 8.55933e-06 719.473 61667.2 284.744
9.61 8.56841e-06 719.852 61539.3 284.605
9.62 8.57749e-06 720.23 61411.7 284.466
9.63 8.58657e-06 720.608 61284.6 284.327
9.64 8.59566e-06 720.984 61158 284.189
9.65 8.60476e-06 721.36 61031.7 284.051
9.66 8.61386e-06 721.735 60905.9 283.913
9.67 8.62296e-06 722.109 60780.5 283.775
9.68 8.63207e-06 722.483 60655.5 283.637
9.69 8.64119e-06 722.855 60531 283.5
9.7 8.65031e-06 723.226 60406.8 283.363
9.71 8.65943e-06 723.597 60283.1 283.226
9.72 8.66856e-06 723.967 60159.8 283.09
9.73 8.67769e-06 724.336 60036.8 282.953
9.74 8.68683e-06 724.704 59914.3 282.817
9.75 8.69598e-06 725.072 59792.2 282.681
9.76 8.70512e-06 725.438 59670.5 282.546
9.77 8.71428e-06 725.804 59549.1 282.41
9.78 8.72343e-06 726.169 59428.2 282.275
9.79 8.7326e-06 726.533 59307.7 282.14
9.8 8.74176e-06 726.897 59187.5 282.006
9.81 8.75094e-06 727.259 59067.8 281.871
9.82 8.76011e-06 727.621 58948.4 281.737
9.83 8.76929e-06 727.982 58829.5 281.603
9.84 8.77848e-06 728.342 58710.9 281.469
9.85 8.78767e-06 728.701 58592.7 281.336
9.86 8.79687e-06 729.06 58474.8 281.202
9.87 8.80607e-06 729.418 58357.4 281.069
9.88 8.81528e-06 729.775 58240.3 280.936
9.89 8.82449e-06 730.131 58123.6 280.804
9.9 8.8337e-06 730.486 58007.3 280.671
9.91 8.84292e-06 730.841 57891.4 280.539
9.92 8.85215e-06 731.195 57775.8 280.407
9.93 8.86138e-06 731.548 57660.6 280.275
9.94 8.87061e-06 731.901 57545.7 280.144
9.95 8.87985e-06 732.253 57431.2 280.012
9.96 8.8891e-06 732.604 57317.1 279.881
9.97 8.89834e-06 732.954 57203.4 279.75
9.98 8.9076e-06 733.303 57090 279.62
9.99 8.91686e-06 733.652 56976.9 279.489
10 8.92612e-06 734 56864.2 279.359
10.01 8.93539e-06 734.347 56751.9 279.229
10.02 8.94466e-06 734.694 56639.9 279.099
10.03 8.95394e-06 735.04 56528.3 278.97
10.04 8.96322e-06 735.385 56417 278.84
10.05 8.97251e-06 735.729 56306.1 278.711
10.06 8.9818e-06 736.073 56195.5 278.582
10.07 8.9911e-06 736.416 56085.2 278.453
10.08 9.0004e-06 736.758 55975.3 278.325
10.09 9.00971e-06 737.099 55865.8 278.196
10.1 9.01902e-06 737.44 55756.5 278.068
10.11 9.02834e-06 737.78 55647.6 277.94
10.12 9.03766e-06 738.12 55539.1 277.812
10.13 9.04698e-06 738.459 55430.9 277.685
10.14 9.05631e-06 738.797 55323 277.557
10.15 9.06565e-06 739.134 55215.4 277.43
10.16 9.07499e-06 739.471 55108.2 277.303
10.17 9.08434e-06 739.807 55001.3 277.176
10.18 9.09369e-06 740.142 54894.7 277.05
10.19 9.10304e-06 740.476 54788.5 276.923
10.2 9.1124e-06 740.81 54682.5 276.797
10.21 9.12177e-06 741.144 54576.9 276.671
10.22 9.13113e-06 741.476 54471.7 276.546
10.23 9.14051e-06 741.808 54366.7 276.42
10.24 9.14989e-06 742.139 54262.1 276.295
10.25 9.15927e-06 742.47 54157.7 276.169
10.26 9.16866e-06 742.8 54053.7 276.044
10.27 9.17805e-06 743.129 53950 275.92
10.28 9.18745e-06 743.458 53846.6 275.795
10.29 9.19685e-06 743.786 53743.5 275.671
10.3 9.20626e-06 744.113 53640.8 275.546
10.31 9.21567e-06 744.44 53538.3 275.422
10.32 9.22509e-06 744.766 53436.1 275.299
10.33 9.23451e-06 745.091 53334.3 275.175
10.34 9.24394e-06 745.416 53232.7 275.051
10.35 9.25337e-06 745.74 53131.5 274.928
10.36 9.26281e-06 746.064 53030.5 274.805
10.37 9.27225e-06 746.387 52929.9 274.682
10.38 9.2817e-06 746.709 52829.5 274.559
10.39 9.29115e-06 747.031 52729.5 274.437
10.4 9.3006e-06 747.352 52629.7 274.315
10.41 9.31007e-06 747.672 52530.3 274.192
10.42 9.31953e-06 747.992 52431.1 274.07
10.43 9.329e-06 748.311 52332.2 273.949
10.44 9.33848e-06 748.629 52233.6 273.827
10.45 9.34796e-06 748.947 52135.3 273.706
10.46 9.35744e-06 749.265 52037.3 273.584
10.47 9.36693e-06 749.581 51939.6 273.463
10.48 9.37642e-06 749.898 51842.2 273.342
10.49 9.38592e-06 750.213 51745 273.222
10.5 9.39543e-06 750.528 51648.1 273.101
10.51 9.40494e-06 750.842 51551.5 272.981
10.52 9.41445e-06 751.156 51455.2 272.861
10.53 9.42397e-06 751.469 51359.2 272.741
10.54 9.43349e-06 751.782 51263.4 272.621
10.55 9.44302e-06 752.094 51168 272.501
10.56 9.45255e-06 752.405 51072.7 272.382
10.57 9.46209e-06 752.716 50977.8 272.262
10.58 9.47163e-06 753.026 50883.2 272.143
10.59 9.48118e-06 753.335 50788.8 272.024
10.6 9.49073e-06 753.644 50694.7 271.906
10.61 9.50029e-06 753.953 50600.8 271.787
10.62 9.50985e-06 754.261 50507.2 271.668
10.63 9.51942e-06 754.568 50413.9 271.55
10.64 9.52899e-06 754.875 50320.9 271.432
10.65 9.53856e-06 755.181 50228.1 271.314
10.66 9.54815e-06 755.487 50135.6 271.196
10.67 9.55773e-06 755.792 50043.4 271.079
10.68 9.56732e-06 756.096 49951.4 270.961
10.69 9.57692e-06 756.4 49859.6 270.844
10.7 9.58652e-06 756.704 49768.2 270.727
10.71 9.59612e-06 757.006 49677 270.61
